,Дата операции,date,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,category,MCC,description,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением,amount,last_digits,total_spent,cashback
64,20.12.2021 19:40:28,20.12.2021,*5091,OK,232.96,RUB,232.96,RUB,0.0,Бонусы,,Выплата по вашему обращению,0,0,232.96,232.96,5091,0.0,0.0
65,20.12.2021 19:35:26,20.12.2021,*5091,OK,495.0,RUB,495.0,RUB,0.0,Бонусы,,Выплата по вашему обращению,0,0,495.0,495.0,5091,0.0,0.0
66,20.12.2021 10:19:26,20.12.2021,*7197,OK,-34.0,RUB,-34.0,RUB,0.0,Фастфуд,5814.0,Rumyanyj Khleb,0,0,34.0,34.0,7197,34.0,0.0
67,20.12.2021 10:09:30,20.12.2021,*7197,OK,-172.69,RUB,-172.69,RUB,0.0,Супермаркеты,5411.0,Дикси,3,0,172.69,172.69,7197,172.69,5.0
68,19.12.2021 20:13:13,20.12.2021,*5091,OK,-42.92,RUB,-42.92,RUB,0.0,Каршеринг,7512.0,Ситидрайв,2,0,42.92,42.92,5091,42.92,2.0
69,19.12.2021 17:46:56,19.12.2021,*7197,OK,-229.0,RUB,-229.0,RUB,0.0,Фастфуд,5814.0,Evo_Kebab Bar,4,0,229.0,229.0,7197,229.0,6.0
70,19.12.2021 14:23:55,19.12.2021,*7197,OK,-120.0,RUB,-120.0,RUB,0.0,Фастфуд,5814.0,Mouse Tail,2,0,120.0,120.0,7197,120.0,3.0
71,19.12.2021 01:15:04,19.12.2021,*7197,OK,-250.0,RUB,-250.0,RUB,0.0,Связь,4814.0,МТС,0,0,250.0,250.0,7197,250.0,2.0
72,18.12.2021 20:27:35,18.12.2021,*7197,OK,-120.0,RUB,-120.0,RUB,0.0,Фастфуд,5814.0,Mouse Tail,2,0,120.0,120.0,7197,120.0,3.0
73,18.12.2021 16:53:16,20.12.2021,*7197,OK,-176.0,RUB,-176.0,RUB,0.0,Топливо,5541.0,ЛУКОЙЛ,3,0,176.0,176.0,7197,176.0,5.0
74,18.12.2021 13:48:05,18.12.2021,*7197,OK,-26.0,RUB,-26.0,RUB,0.0,Транспорт,4131.0,Pskovpassazhiravtotrans.,0,0,26.0,26.0,7197,26.0,0.0
75,18.12.2021 13:28:56,18.12.2021,*7197,OK,-829.0,RUB,-829.0,RUB,0.0,Супермаркеты,5411.0,Лента,16,0,829.0,829.0,7197,829.0,24.0
76,17.12.2021 23:40:14,18.12.2021,*5091,OK,-1.0,RUB,-1.0,RUB,0.0,Каршеринг,7512.0,Ситидрайв,0,0,1.0,1.0,5091,1.0,0.0
77,17.12.2021 16:28:23,17.12.2021,*7197,OK,-229.0,RUB,-229.0,RUB,0.0,Фастфуд,5814.0,Evo_Kebab Bar,4,0,229.0,229.0,7197,229.0,6.0
78,17.12.2021 14:52:20,17.12.2021,*7197,OK,-100.0,RUB,-100.0,RUB,0.0,Сервис,7311.0,BlaBlaCar,0,0,100.0,100.0,7197,100.0,1.0
79,17.12.2021 13:17:06,17.12.2021,*7197,OK,-192.78,RUB,-192.78,RUB,0.0,Супермаркеты,5411.0,Колхоз,3,0,192.78,192.78,7197,192.78,5.0
80,17.12.2021 13:04:00,17.12.2021,*7197,OK,-214.46,RUB,-214.46,RUB,0.0,Супермаркеты,5411.0,Магнит,4,0,214.46,214.46,7197,214.46,6.0
81,17.12.2021 12:07:04,17.12.2021,*7197,OK,-120.0,RUB,-120.0,RUB,0.0,Фастфуд,5814.0,Mouse Tail,2,0,120.0,120.0,7197,120.0,3.0
82,16.12.2021 16:27:01,16.12.2021,*5091,OK,-11.49,RUB,-11.49,RUB,0.0,Каршеринг,7512.0,Ситидрайв,0,0,11.49,11.49,5091,11.49,0.0
83,16.12.2021 16:15:55,16.12.2021,*7197,OK,-1150.0,RUB,-1150.0,RUB,0.0,Дом и ремонт,5712.0,Ofisnaya mebel,23,0,1150.0,1150.0,7197,1150.0,34.0
84,16.12.2021 15:01:10,18.12.2021,*5091,OK,-300.0,RUB,-300.0,RUB,0.0,Местный транспорт,4111.0,Метро Санкт-Петербург,3,0,300.0,300.0,5091,300.0,6.0
85,16.12.2021 14:52:33,16.12.2021,*7197,OK,-431.0,RUB,-431.0,RUB,0.0,Аптеки,5912.0,Аптека Вита,8,0,431.0,431.0,7197,431.0,12.0
86,16.12.2021 14:31:53,16.12.2021,*7197,OK,-19.28,RUB,-19.28,RUB,0.0,Каршеринг,7512.0,Ситидрайв,0,0,19.28,19.28,7197,19.28,0.0
87,16.12.2021 11:38:59,16.12.2021,*7197,OK,-388.0,RUB,-388.0,RUB,0.0,Фастфуд,5814.0,ЛюдиЛюбят,7,0,388.0,388.0,7197,388.0,11.0
88,16.12.2021 11:26:30,18.12.2021,*5091,OK,-500.0,RUB,-500.0,RUB,0.0,Местный транспорт,4111.0,Метро Санкт-Петербург,5,0,500.0,500.0,5091,500.0,10.0
89,15.12.2021 19:04:44,16.12.2021,*7197,OK,-55.0,RUB,-55.0,RUB,0.0,Транспорт,4131.0,Городской транспорт Санкт-Петербург,1,0,55.0,55.0,7197,55.0,1.0
90,15.12.2021 18:46:47,15.12.2021,*7197,OK,-118.0,RUB,-118.0,RUB,0.0,Фастфуд,5814.0,IP Leonteva T.G.,2,0,118.0,118.0,7197,118.0,3.0
91,15.12.2021 18:36:27,17.12.2021,*7197,OK,-60.0,RUB,-60.0,RUB,0.0,Местный транспорт,4111.0,Метро Санкт-Петербург,1,0,60.0,60.0,7197,60.0,1.0
92,15.12.2021 18:33:20,15.12.2021,*5091,OK,-196.02,RUB,-196.02,RUB,0.0,Каршеринг,7512.0,Ситидрайв,9,0,196.02,196.02,5091,196.02,11.0
93,15.12.2021 16:22:42,15.12.2021,*7197,OK,-34.0,RUB,-34.0,RUB,0.0,Фастфуд,5814.0,Rumyanyj Khleb,0,0,34.0,34.0,7197,34.0,0.0
94,14.12.2021 18:12:05,14.12.2021,*7197,OK,-83.0,RUB,-83.0,RUB,0.0,Фастфуд,5814.0,McDonald's,1,0,83.0,83.0,7197,83.0,1.0
95,14.12.2021 17:57:37,14.12.2021,*7197,OK,-27.5,RUB,-27.5,RUB,0.0,Детские товары,5945.0,Детский Мир,0,0,27.5,27.5,7197,27.5,0.0
96,14.12.2021 17:14:44,14.12.2021,*7197,OK,-95.0,RUB,-95.0,RUB,0.0,Фастфуд,5814.0,IP Nelikaev,1,0,95.0,95.0,7197,95.0,1.0
97,14.12.2021 12:05:59,14.12.2021,*7197,OK,-309.0,RUB,-309.0,RUB,0.0,Супермаркеты,5411.0,Колхоз,6,0,309.0,309.0,7197,309.0,9.0
98,14.12.2021 11:48:44,14.12.2021,*7197,OK,-227.23,RUB,-227.23,RUB,0.0,Супермаркеты,5411.0,Дикси,4,0,227.23,227.23,7197,227.23,6.0
99,14.12.2021 00:17:19,14.12.2021,*7197,OK,-421.0,RUB,-421.0,RUB,0.0,Различные товары,5399.0,Ozon.ru,8,0,421.0,421.0,7197,421.0,12.0
100,13.12.2021 19:14:39,15.12.2021,*5091,OK,-300.0,RUB,-300.0,RUB,0.0,Местный транспорт,4111.0,Метро Санкт-Петербург,3,0,300.0,300.0,5091,300.0,6.0
101,13.12.2021 11:15:28,13.12.2021,*7197,OK,-99.0,RUB,-99.0,RUB,0.0,Фастфуд,5814.0,IP Yakubovskaya M.V.,1,0,99.0,99.0,7197,99.0,1.0
102,12.12.2021 19:44:10,13.12.2021,*5091,OK,-14.6,RUB,-14.6,RUB,0.0,Каршеринг,7512.0,Ситидрайв,0,0,14.6,14.6,5091,14.6,0.0
103,12.12.2021 15:03:30,12.12.2021,*5091,OK,1721.38,RUB,1721.38,RUB,0.0,Каршеринг,7512.0,Ситидрайв,-86,0,1721.38,1721.38,5091,0.0,-86.0
104,11.12.2021 19:16:58,11.12.2021,*7197,OK,-70.0,RUB,-70.0,RUB,0.0,Супермаркеты,5411.0,Колхоз,1,0,70.0,70.0,7197,70.0,1.0
105,11.12.2021 19:16:28,11.12.2021,*7197,OK,-34.0,RUB,-34.0,RUB,0.0,Фастфуд,5814.0,Rumyanyj Khleb,0,0,34.0,34.0,7197,34.0,0.0
106,11.12.2021 19:03:48,12.12.2021,*5091,OK,-2.64,RUB,-2.64,RUB,0.0,Каршеринг,7512.0,Ситидрайв,0,0,2.64,2.64,5091,2.64,0.0
107,11.12.2021 15:47:40,11.12.2021,*7197,OK,-123.54,RUB,-123.54,RUB,0.0,Фастфуд,5814.0,Impulse coffee,2,0,123.54,123.54,7197,123.54,3.0
108,11.12.2021 14:52:17,11.12.2021,*7197,OK,-45.0,RUB,-45.0,RUB,0.0,Связь,7379.0,Devajs Servis.,0,0,45.0,45.0,7197,45.0,0.0
